,comment,Username,time,like,IDIndex,platform
0,所以之前的视频呢？,阿瞒当娶本初,2023/12/7 20:00,0,2,bilibili
1,正能量要传播，,套娃星系,2023/12/8 7:09,0,2,bilibili
2,现在发的申明和做删帖的做法可是相反的哦，我本来差点信了呢,七个行者,2023/12/6 22:53,0,2,bilibili
3,没流量啊，我在评论区才看到的这事找过来的,终章一,2023/12/7 17:23,0,2,bilibili
4,五月天,74874634358_bili,2023/12/7 19:17,0,2,bilibili
5,在CDT看到的,MetaMiku,2023/12/7 17:28,0,2,bilibili
6,一方有难，八方支援。正能量！,Prime长歌-,2023/12/7 12:29,0,2,bilibili
7,幽默自助,吃亏是福不是祸lk,2023/12/6 20:03,0,2,bilibili
8,堵不如疏吧。。真有什么第一时间澄清，哪怕是负面的人们也习惯了。反而支支吾吾的才会引发争议。,醉月喵,2023/12/15 8:17,0,2,bilibili
9,"所以，花120万包机是真的喽？
有这个家资的，干出这种事也不让人意外啊",AnziDeno,2023/12/6 22:47,0,2,bilibili
10,这帮�，留下我一个在这里感冒！一个月了没挣一分钱。你们都是旅游了啊,去星巴克喝娃哈哈,2023/12/7 19:28,0,2,bilibili
11,谣言止于智者！已举办,鸦森咲羽,2023/12/6 19:59,0,2,bilibili
12,马上就删 最后一条关于这个新闻了,桂uou,2023/12/7 19:20,0,2,bilibili
13,恩将仇报 见利忘义 就是这种人,萧四无先生,2023/12/9 19:38,0,2,bilibili
14,快去看五月天假唱,发条熊-,2023/12/7 0:31,0,2,bilibili
15,令人信服,苹果泡泡水,2023/12/6 19:22,0,2,bilibili
16,什么时候公务员献肾？,ㅡ包薯条嘻嘻,2023/12/7 0:22,0,2,bilibili
17,中山事件彻底无了？,甜尼熊噗,2023/12/7 18:41,0,2,bilibili
18,我是秦始皇，打钱,MetaMiku,2023/12/13 16:27,0,2,bilibili
19,阿里这么牛逼的吗,超高校级的披萨女,2023/12/6 19:21,0,2,bilibili
20,唉马云，唉资本,自律宅楠,2023/12/8 20:57,0,2,bilibili
21,什么扫地僧,多啦兔,2023/12/6 19:53,0,2,bilibili
22,哈哈哈哈哈,alive包,2023/12/6 19:18,0,2,bilibili
23,拉黑不谢,猫咪古神,2023/12/6 20:18,0,2,bilibili
24,G*2,德基督山,2023/12/7 23:37,0,2,bilibili
25,好好好,半岛铁盒山东半岛分盒,2023/12/7 0:26,0,2,bilibili
26,乐,bili_82360369534,2023/12/7 23:28,0,2,bilibili
27,6,一个大头啊,2023/12/6 22:20,0,2,bilibili
28,"看一眼包机发票和转账记录
能看一眼公函的话最好",osking,2023/12/8 22:33,0,2,bilibili
29,大型纪录片又有新素材了,TryRemember,2023/12/14 9:44,0,2,bilibili
30,挺好的，以后有人在阿里遇到这种事就要这一样的救治。,朝游碧海暮栖苍梧,2023/12/9 1:22,0,2,bilibili
31,终于有人没忘记,辰大爱吃胡萝卜s,2023/12/8 14:21,0,2,bilibili
32,别问了别问了，我不想知道了，爱怎样就怎样吧,始终有一天我会被召唤,2023/12/8 17:51,0,2,bilibili
33,人人都要有爱心，献血是每个公民的义务，居民就没必要了,账号又被注销了,2023/12/9 13:11,0,2,bilibili
34,我自愿相信这个辟谣是真的。,稀稀稀稀稀有,2023/12/14 16:42,0,2,bilibili
35,emmm，不愧是大号自媒体,焚风最强肥宅,2023/12/12 20:42,0,2,bilibili
36,感谢上海卫健委,错过了然后,2023/12/13 9:24,0,2,bilibili
37,没啥奇怪的，而且有什么可大惊小怪的。我要是有特权我也用。这件事情起码是让你知道了，你不知道的多了去了。大部分骂这个事情的人可不是为了什么所谓的平等，而是他想要特权，但他没有特权，而且这辈子大概率也不会有。,利奥波德大公,2023/12/9 13:55,0,2,bilibili
38,再问，就不礼貌了,金毛败犬sawamura,2023/12/8 21:12,0,2,bilibili
39,振聋发聩,老海象啊,2023/12/8 21:05,0,2,bilibili
40,人道主义，希望各位都能走上人道嗷,温七上酒,2023/12/8 13:57,0,2,bilibili
41,只要普通人也有资格，那么我们也不会再说什么,rt露西亚,2023/12/9 12:41,0,2,bilibili
42,我信还不行么,安东q,2023/12/8 7:51,0,2,bilibili
43,"每个环节都需要通天的能量
两地卫健委
消防部队官兵公务员
包医疗专机
交警开道
移植肝源",sivccoo,2023/12/9 9:18,0,2,bilibili
44,哦，收到,地基一旦腐朽,2023/12/9 1:26,0,2,bilibili
45,我信了,2023年8月24日壹,2023/12/8 7:51,0,2,bilibili
46,笑了,xiaomagezzz,2023/12/7 18:50,0,2,bilibili
47,信信信，不信又能怎么样呢,鲜二臭,2023/12/7 19:30,0,2,bilibili
48,变好了是吧,阿瓦隆系统yue了,2023/12/8 2:14,0,2,bilibili
49,凤凰网,并不认真的昵称,2023/12/14 13:02,0,2,bilibili
50,勇！,雨中謾歩,2023/12/7 19:31,0,2,bilibili
51,现在已经搜索不到了,不要太独特,2023/12/8 8:32,0,2,bilibili
52,我觉得那是啥 那就必须是啥,雪夜下江南,2023/12/7 18:54,0,2,bilibili
53,,灰色的地方,2023/12/7 18:55,0,2,bilibili
54,别的不说，你就算换成中国首富想完成这个壮举都难,ncdzy,2023/12/8 14:29,0,2,bilibili
55,我是科比,可以不用但不能没有,2023/12/8 2:43,0,2,bilibili
56,你们喜欢就好,星语心愿丶,2023/12/8 13:53,0,2,bilibili
57,医研丁真 鉴定为：鉴定失败，请以官方通告为准,康康_1592,2023/12/9 12:51,0,2,bilibili
58,上海本来就得财政定点支援西部，有这个人脉也没啥好奇怪的，人得势了家人子女沾点光不是再正常嘛，就是凡事都不可以太过分更不可以张扬，这女的嘛就是无脑。德不配位必有灾祸，就她这个德行要是不修炼下也守不住家里的财富和地位。,FKC95,2023/12/8 23:24,0,2,bilibili
59,我觉得善意都是对等的，有其他人出事时能不能专门抽这个女的的血啊，毕竟她接受了那么多人献血，也该奉献奉献,吴歑琧,2023/12/7 20:10,0,2,bilibili
60,"小姑牛批这事，我提莫用你提莫告诉我吗？
b站：传说归传说，这是官方认证",崔杼弑君,2023/12/9 15:27,0,2,bilibili
61,要找之前的那些视频，去看看我的动态，给你们指路（已经被控评的盯上了，仅自己可见状态）,ge2tow,2023/12/8 8:14,0,2,bilibili
62,虽然我也不信，但我都给你一个解释了，我觉得你们这些屁民有点不地道，早早散去吧！,yaobanli,2023/12/10 2:55,0,2,bilibili
63,逻辑死循环，根本不是谣言不谣言的问题，你的加法式非得来个乘0鬼来了也不会是1,泮河汐,2023/12/7 20:33,0,2,bilibili
64,你们说的有多荒诞，我们都得信，因为你们手里有枪，而我们手无寸铁,芝麻小动物,2023/12/9 3:32,0,2,bilibili
65,这女的实在是没脑子，这种事也能放在明面上讲，还发在网上,有为青年司马懿233,2023/12/8 8:48,0,2,bilibili
66,就是这么一个白眼狼，搅和了这么长时间的漩涡，真是恶心啊。,Super-Aurinko,2023/12/9 18:14,0,2,bilibili
67,你就说出来真相吧，反正我们也不能拿你怎么办,实况胡迪,2023/12/14 18:26,0,2,bilibili
68,小叔叔 今年66岁 被捕前曾是钢厂工人,蒙题术士,2023/12/8 20:29,0,2,bilibili
69,人家水军都快把这波辟谣过去了，你又提。,千牛卫备身,2023/12/8 11:01,0,2,bilibili
70,,李相赫注定没有女朋友,2023/12/14 16:04,0,2,bilibili
71,那个刚刷出来的 最新版本 是自媒体造谣 以被处理,Schulmdchen,2023/12/8 21:35,0,2,bilibili
72,6.67E+17,纪狗蛋,2023/12/8 15:05,0,2,bilibili
73,你说没问题把，你删视频删评论干什么,3500万人最速通关记录,2023/12/14 7:43,0,2,bilibili
74,如果是假的，为什么不把当事人抓起来,CSGO大茹子,2023/12/8 13:44,0,2,bilibili
75,你这不什么都没多说啊 还没想好吗,编号421520,2023/12/9 18:28,0,2,bilibili
76,谁做的文案，这不得开除了，啥水平,Leslie蜻蜓,2023/12/9 4:14,0,2,bilibili
77,我，阎王爷，早晚收了她,刘氓哥ge,2023/12/8 7:34,0,2,bilibili
78,信了信了，行了吧。,夏尼·玛掺乎,2023/12/7 18:59,0,2,bilibili
79,问这些有啥用啊,笑脸lm,2023/12/8 14:23,0,2,bilibili
80,看来各个洗地的都出来洗地了,騲犇,2023/12/9 13:22,0,2,bilibili
81,压热搜啊，才1.9w播放量,夜雨之风君,2023/12/9 10:50,0,2,bilibili
82,我更想希望秦始皇得长生了。,段润黎,2023/12/8 8:42,0,2,bilibili
83,还来之不易呢 你可真能找,教主深田,2023/12/9 9:13,0,2,bilibili
84,这事，走正常渠道才牛吧！,搁浅大地,2023/12/8 15:32,0,2,bilibili
85,大家都洗衣服了呀，哈哈哈,一个靓仔_5589,2023/12/8 15:30,0,2,bilibili
86,冰冻三尺，非一日之寒。,星光在水-渔火浮天,2023/12/14 18:36,0,2,bilibili
87,这事短短几天就没热度了,帝都bili混子geexer,2023/12/8 17:55,0,2,bilibili
88,不是全部屏蔽了吗还能发,赌怪Kimiro,2023/12/8 17:46,0,2,bilibili
89,首陀罗确实不能叫普通人,Z-y大人,2023/12/8 15:35,0,2,bilibili
90,流量和牛魔只能要一个哦,歌者GZH,2023/12/8 14:29,0,2,bilibili
91,哈哈哈哈哈哈哈！！！,不理人左卫门,2023/12/9 13:47,0,2,bilibili
92,香港媒体破坏内地稳定,模玩评测果子狸,2023/12/8 11:58,0,2,bilibili
93,老老实实当你的中国人,爱吃薯条嘻嘻,2023/12/8 10:37,0,2,bilibili
94,明牌了，你能怎么样,妙蛙蒜头子,2023/12/14 21:30,0,2,bilibili
95,我信了还不行了吗？,账号已被注肖,2023/12/10 12:33,0,2,bilibili
96,富贵儿子叫啥来着？,笑容不是为ni,2023/12/8 21:20,0,2,bilibili
97,别说了，我信秦始皇,羞羞的猪队友,2023/12/8 17:53,0,2,bilibili
98,哈哈哈,川べりの家-松崎名央,2023/12/7 19:32,0,2,bilibili
99,死神都干不过你们,_clouding_,2023/12/14 16:58,0,2,bilibili
100,感動哭了。。。,邠寧節度使,2023/12/15 12:09,0,2,bilibili
101,一辈子不会献血,風棂,2023/12/9 3:21,0,2,bilibili
102,唉马云，唉资本,自律宅楠,2023/12/8 21:03,0,2,bilibili
103,正直的凤凰台,Lijmailxl,2023/12/9 10:57,0,2,bilibili
104,上海人厉害啊,chinahnwqf,2023/12/9 9:25,0,2,bilibili
105,是是是对对对,警长114514,2023/12/9 9:01,0,2,bilibili
106,视频都删没了,土圭垚森,2023/12/9 3:56,0,2,bilibili
107,/test,TOGRSSSSSS,2023/12/8 3:53,0,2,bilibili
108,无所谓了,哆啦a梦索拉西,2023/12/8 6:38,0,2,bilibili
109,说的道理,永世神选莉莉丝,2023/12/8 3:52,0,2,bilibili
110,？？？？,飞军破势,2023/12/8 1:45,0,2,bilibili
111,我姓曾,花の三つ葉,2023/12/8 15:06,0,2,bilibili
112,会编的,煊头,2023/12/8 12:51,0,2,bilibili
113,逆天,撒玛利亚肥鼠,2023/12/14 17:17,0,2,bilibili
114,幽默,科比佈萊恩特official,2023/12/8 20:49,0,2,bilibili
115,呵呵,大明caoyu,2023/12/7 20:16,0,2,bilibili
116,NB,玩家洛洛,2023/12/7 19:01,0,2,bilibili
117,呵呵,氿訫,2023/12/7 18:57,0,2,bilibili
118,血库姐已经搜不到了，全是彩票,灬事了拂衣去,2023/12/14 18:24,0,2,bilibili
119,算逑,智慧生物的美好之处,2023/12/9 0:42,0,2,bilibili
120,"核污染排放，食品添加剂，奶粉，
饲料，化肥，农药，电子辐射，
这些关乎自己安全和利益，多看看吧，",套娃星系,2023/12/8 7:15,0,2,bilibili
121,我就一个想法，我出事了也能不能这个流程来,敲可爱的脑壳,2023/12/15 1:28,0,2,bilibili
122,哈哈哈哈哈哈哈哈哈哈哈哈哈哈hh,永远跟党走u,2023/12/7 14:38,0,2,bilibili
123,漏洞百出,你要搜我也没办法捏,2023/12/7 1:47,0,2,bilibili
124,@马督工,Pop柚子,2023/12/7 15:06,0,2,bilibili
125,我不信,我在听-小南瓜,2023/12/14 21:51,0,2,bilibili
126,啊。,丨缪尔赛思丨,2023/12/6 21:07,0,2,bilibili
127,那公布一下怎么联系的,月静湖澄,2023/12/15 20:12,0,2,bilibili
128,什么狗东西,暗夜飘逸,2023/12/9 22:56,0,2,bilibili
129,"恭迎TFBOYS回归！
恭迎TFBOYS回归！
恭迎TFBOYS回归！",猫猫可爱捏_,2023/12/10 17:14,0,2,bilibili
130,幽默闹钟,smartisan坚果,2023/12/9 23:17,0,2,bilibili
131,驴友重生记：一上海驴友在阿里突遇车祸，生命危在旦夕。阿里地区军民三十多人自发献血，西藏上海医疗援藏对口部门向上海市卫健委发函，请求在日喀则的上海援藏医生到阿里进行会诊，上海市卫健委立即进行安排。根据病情，上海援藏医生建议立即转至川大华西医院抢救。华西医院在接到求助后，立即进行了安排。一切万事俱备，病人空运成了唯一难题。驴友的小姑姑得知此事，突想起儿媳妇在物流公司工作，并且负责办理委托承运手续，遂电话询问儿媳如何包机。儿媳得知包机原因后，想起公司有包机恰好当天从阿里运货到成都，便请求领导提供帮助。公司领导当即拍板，先救人，货物改日再运。经抢救，受伤驴友几天后脱离危险，可以回上海继续疗养。驴友小姑姑的儿媳再次找公司领导求助，希望搭乘公司从成都到上海的商务车，公司领导考虑驴友包机已花费一百多万，便只收取两千多元。回顾全过程，驴友十分感慨，真是天不灭曹，包机一事让众人一筹莫展，却被退休在家的小姑姑轻松搞定，小姑姑牛X。（本故事纯属虚构，如有雷同，纯属巧合）,冬日暖阳27792779,2023/12/10 13:16,0,2,bilibili
132,@光学刺猬 我前面回答过你的，不是歪楼，我特意zhendui你说的话来的，还解释了半天，结果评论被举报，你还拉黑我，不知道谁心虚,梦化空,2023/12/9 17:41,0,2,bilibili
133,大家该干嘛干嘛，做人自私点，你不欠谁的，你只要知道遵守规则的人是小丑就行了，散了,桐崎芊棘,2023/12/10 22:42,0,2,bilibili
134,最简单的证明就是大街随机找几个人，你让他们试试能不能做到就行了。,X_Cccccccccc,2023/12/14 8:20,0,2,bilibili
135,这些才是中国公民啊，其他人只是有个身份证而已,柯大吓,2023/12/14 9:03,0,2,bilibili
136,好，那把造谣的抓起来吧,阿坤昆堃啊,2023/12/9 16:22,0,2,bilibili
137,这是什么情况？,123姐妹追剧,2023/12/8 23:06,0,2,bilibili
138,传播谣言不是要行政处罚的吗,演员没有假期,2023/12/9 21:14,0,2,bilibili
139,他们说造谣就是造谣？,好强太强了我选择摆烂,2023/12/10 10:43,0,2,bilibili
140,此地无银三百两,光影-时刻,2023/12/9 11:20,0,2,bilibili
141,试图弱化大脑,我就这个表情ーヘー,2023/12/11 8:34,0,2,bilibili
142,黄河终将决堤,世上可有仙,2023/12/10 16:07,0,2,bilibili
143,真？假？,祝你胃痛牙痛膝盖痛,2023/12/9 23:58,0,2,bilibili
144,调查结果现在也没有吗？,饼不圆,2023/12/6 22:58,1,2,bilibili
145,顶上去,夜樱千歌,2023/12/14 13:06,1,2,bilibili
146,正能量视频,东百电灯侠,2023/12/8 10:41,1,2,bilibili
147,还请各位爷继续保持吃瓜心态，别急，还有更加魔幻的节目给您献上咧,Lesand,2023/12/8 12:39,1,2,bilibili
148,我只知道 阿里地区的朋友们献血是真心真意的 愿好人一生平安,heifetz7,2023/12/6 19:29,1,2,bilibili
149,不是在阳光下，反正我是不会去相信了,蓝龙Vic,2023/12/7 12:59,1,2,bilibili
150,主要是打电话这个就是最大的不同了,黑工瞳仁,2023/12/6 19:26,1,2,bilibili
151,我咋都没有听说过这事情？,当一名好医生,2023/12/6 19:24,1,2,bilibili
152,好！,N1BEL,2023/12/9 22:36,1,2,bilibili
153,7000毫升,醒风弄月,2023/12/7 0:06,1,2,bilibili
154,什么都搜不到了,daring000,2023/12/8 15:04,1,2,bilibili
155,有这么好的医疗服务，这么多热心群众，大家为什么还畏首畏尾，恶意不消费呢，完全没有任何后顾之忧啊,a_Mandalorian,2023/12/7 20:06,1,2,bilibili
156,要不是看到“清洁煤”评论区有人问这个事，我都没想到视频都被删了,修行社,2023/12/7 8:53,1,2,bilibili
157,这??,洛小河_Riv,2023/12/14 10:18,1,2,bilibili
158,留念第四天，希望视频不要被删。,春日枫ヽ,2023/12/15 10:17,1,2,bilibili
159,一个人最多4000ml血液，这波献了7000ml......多余的是吐了还是拿去当水喝啊？,大炮真的很大,2023/12/7 10:42,1,2,bilibili
160,其实我就是秦始皇，现在我化身尚宗本人，正在做游戏剪辑,真人快打-老顽童,2023/12/9 11:21,1,2,bilibili
161,包机可以花钱血要也不是完全不可能联系市卫健委纯离谱,没有的别试了,2023/12/8 0:46,1,2,bilibili
162,反转了结果pxj还是不信，还在幻想,YsChAkkk,2023/12/6 23:06,1,2,bilibili
163,马上就删 最后一条关于这个新闻了,word麻鸭失棉了,2023/12/6 22:49,1,2,bilibili
164,所以视频为啥都没了,大七呀-,2023/12/6 22:23,1,2,bilibili
165,再等等吧，互联网是没有记忆的,小岛秀夫HideoKojima,2023/12/6 19:48,1,2,bilibili
166,怎么没有卫健委的事了？,浩浩无敌大帅比,2023/12/7 0:11,1,2,bilibili
167,,1024_black_cat,2023/12/10 20:19,1,2,bilibili
168,说不出话了，悲哀,堂主三三,2023/12/8 11:48,1,2,bilibili
169,才300评论啊,小班也上政治课,2023/12/7 7:17,1,2,bilibili
170,如何破局,boomboomboomxx,2023/12/7 18:19,1,2,bilibili
171,遥遥领先,魔幻丁真,2023/12/7 0:55,1,2,bilibili
172,666,狂宕三世,2023/12/9 16:02,1,2,bilibili
173,唉美团,Ruprecht-I,2023/12/8 14:20,1,2,bilibili
174,6,长庚星毓,2023/12/14 16:41,1,2,bilibili
175,6,名字叫名字or名字,2023/12/10 20:09,1,2,bilibili
176,1,究极野猪大王,2023/12/9 7:55,1,2,bilibili
177,顶起来,比利海灵遁,2023/12/8 8:05,1,2,bilibili
178,投2币了，希望视频能存在久一点吧。,歌島新治,2023/12/13 8:29,1,2,bilibili
179,@中国长安网 @复兴路上 @国是直通车 正能量，值得宣传,何家欢,2023/12/11 18:11,1,2,bilibili
180,尊重,huibuuc,2023/12/9 0:03,1,2,bilibili
181,我之前的几条不见了，那我只敢相信了,inarticulater,2023/12/10 2:59,1,2,bilibili
182,普通人活着就不容易了，哪还有能力来质疑大佬。,特斯拉刹车调试员,2023/12/11 11:02,1,2,bilibili
183,只有小凤凰还在刚,而立知天命,2023/12/8 18:03,1,2,bilibili
184,感天动地，建议拍电影,梦里醒时,2023/12/8 23:11,1,2,bilibili
185,五大亮点,花中行樂月中眠,2023/12/10 19:53,1,2,bilibili
186,不知道还会不会有徙木立信,灭你的牛,2023/12/7 19:04,1,2,bilibili
187,第六问：肝源来自于何处,账号已注销,2023/12/8 11:55,1,2,bilibili
188,我信了�,阅读驴,2023/12/9 11:35,1,2,bilibili
189,已经搜不到了！,白菜的白_庶民的庶,2023/12/10 7:04,1,2,bilibili
190,这和现实太撕裂 平时去医院 去政府部门办事 有这效率？,IQLY2580,2023/12/9 10:58,1,2,bilibili
191,还得是凤凰网。,心可以碎_手不能停,2023/12/12 23:20,1,2,bilibili
192,可存在的问题是，我们普通人发生了事，为什么困难就那么大？谁都联系不到了，只能求助自己和上天保佑了,风语雨声,2023/12/9 14:07,1,2,bilibili
193,谢谢你，凤凰网，你是真凤凰，你是真的勇,刘庸干净生又卫,2023/12/8 21:14,1,2,bilibili
194,载入史册咯,藏狐也是狐,2023/12/12 16:00,1,2,bilibili
195,听说那天是星期天,沉牧不远,2023/12/9 8:35,1,2,bilibili
196,终于等到真相了，相信凡凡,薛定谔的末日,2023/12/10 21:47,1,2,bilibili
197,你还真想给我买瓜子啊,我头像是电视,2023/12/8 18:37,1,2,bilibili
198,我反正信了,醪糟酒师傅,2023/12/7 20:01,1,2,bilibili
199,我信，我信,大和赤骥big_,2023/12/10 19:20,1,2,bilibili
200,"好,真相不会迟到",a-piece-of-shit,2023/12/7 19:03,1,2,bilibili
201,好开,L渐入佳境,2023/12/9 16:09,1,2,bilibili
202,航空公司人还怪好的咧,路灯推荐专家,2023/12/9 10:18,1,2,bilibili
203,怎么是普通人骗谁呢？以为网友都是傻子。殊不知不管怎么欺骗隐瞒，网友一个比一个清楚。,凉未火,2023/12/8 14:24,1,2,bilibili
204,对对  都是普通老百姓,资本主义真该死啊,2023/12/8 14:30,1,2,bilibili
205,凤凰这还在,鸡蛋六只糖呢两茶匙,2023/12/13 13:44,1,2,bilibili
206,唯三还能搜到的视频,Able_77,2023/12/13 16:59,1,2,bilibili
207,公平公正廉洁奉献,六盘水欧亚男科刘主任,2023/12/9 18:45,1,2,bilibili
208,每个人紧急用血都可以像她一样的，不要再带节奏了,NoNuke肥八神,2023/12/14 10:59,1,2,bilibili
209,"""世界上最可悲的事，是好人只能偷偷议论真相，而坏人却能明目张胆的说好人在造谣。""
一毛姆",真不会取名丶,2023/12/9 10:50,1,2,bilibili
210,跟你们说啊！该给解释的都解释了 ！在不信，就不礼貌了！,13岁的爱国心,2023/12/8 12:43,1,2,bilibili
211,救人是好事，那就都发出来让大家评判评判，表扬表扬，遮遮掩掩的，让有心人看到还以为你们心里有鬼呢,地上有五把枪,2023/12/8 0:18,1,2,bilibili
212,都这么牛逼的权利背景了还用发函，直接打电话办事就行了，这不是露马脚吗，吃力不讨好，我不觉得这是个聪明人,love蕾姆酱o,2023/12/8 0:55,1,2,bilibili
213,既然你诚心诚意的问了，我就大发慈悲的告诉你，五葬，小刺喽。,权叔视频好看,2023/12/8 14:41,1,2,bilibili
214,我听说被救女子是夸大事实，如果是真的话属于造谣要抓吗,贤妻良母由佳酱,2023/12/10 13:16,1,2,bilibili
215,谁敢不信，就是罕见！抓起来去领50w,Doubling7,2023/12/9 9:20,1,2,bilibili
216,我为这种人能和我生活在同一个城市感到不齿,残月代柔啦,2023/12/12 11:22,1,2,bilibili
217,别问了，别查了，再查下去跟你们息息相关了,鹤归风车KZ,2023/12/9 12:04,1,2,bilibili
218,我估摸，马云在这小姑面前也就是一个屁,除暴安良之人,2023/12/9 22:35,1,2,bilibili
219,你们信吗？骗傻子的！几千年来恒古未有,吃白菜也要勇气,2023/12/8 20:33,1,2,bilibili
220,儿媳妇是谁，什么岗位，什么权力级别？,骊威X,2023/12/8 13:55,1,2,bilibili
221,哈哈哈哈哈哈哈，真是好笑,伪宅sama,2023/12/12 12:17,1,2,bilibili
222,对对对，你说是就是呗,稻草人DAOCAO,2023/12/9 17:17,1,2,bilibili
223,我建议上海市卫健委起诉这对夫妻,互联网调查记者,2023/12/7 19:01,1,2,bilibili
224,我只愿相信这些人话的，多捐血,肿么你不服气,2023/12/14 8:54,1,2,bilibili
225,你问问鬼，他信不？哈哈哈哈哈,除暴安良之人,2023/12/9 22:33,1,2,bilibili
226,居然还有，其他视频早下架了。,55052054,2023/12/8 12:22,1,2,bilibili
227,我，秦始皇！打钱,早安扎胩扒胩,2023/12/7 22:19,1,2,bilibili
228,北机鲢鱼，西藏血拐,不是吧宝贝,2023/12/13 11:43,1,2,bilibili
